seed,r
5,0
5,0
5,0
5,0
5,-0.5
5,0.5
5,1
5,0
5,0
5,0
5,0
5,0
5,0.5
5,0
5,0
5,0
5,0
5,0.5
5,0
5,0
5,0
5,0
5,-0.5
5,-1
5,0.5
5,-0.5
5,-1
5,0
5,-0.5
5,0.5
5,0
5,0.5
5,-0.5
5,-1
5,0
5,0.5
5,-0.5
5,0
5,0
5,1
5,0.5
5,-0.5
5,0.5
5,-1.5
5,1
5,0.5
5,0
5,0
5,0.5
5,0.5
5,0
5,0
5,-0.5
5,0.5
5,-0.5
5,-1
5,1
5,0.5
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,0
5,1
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,0
5,0
5,0
5,0
5,-0.5
5,0.5
5,-0.5
5,0.5
5,-0.5
5,0.5
5,0
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,0
5,-0.5
5,0
5,0
5,0.5
5,0
5,-0.5
5,0
5,0
5,0.5
5,0
5,-0.5
5,0.5
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,-0.5
5,0
5,0
5,0
5,0.5
5,0
5,0
5,-0.5
5,0.5
5,0
5,0
5,0
5,0
5,0
5,0
5,0
6,0
6,0
6,0
6,-1.5
6,0
6,1
6,0
6,1.5
6,0
6,0
6,1
6,0
6,0
6,1.5
6,0.5
6,-0.5
6,-0.5
6,0
6,0
6,0
6,0
6,-0.5
6,0
6,0.5
6,0
6,-0.5
6,0.5
6,0
6,0
6,-0.5
6,0.5
6,-0.5
6,0.5
6,0
6,0
6,0
6,0
6,-0.5
6,1
6,0.5
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,-0.5
6,0.5
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,-0.5
6,0.5
6,0
6,-0.5
6,0
6,0
6,0
6,0.5
6,-0.5
6,0.5
6,0
6,0.5
6,0.5
6,-0.5
6,-1
6,1
6,-1.5
6,0.5
6,0
6,0
6,0
6,1
6,0.5
6,-0.5
6,-1
6,0
6,0.5
6,-0.5
6,0
6,0.5
6,0
6,0.5
6,-1
6,0.5
6,-0.5
6,-1
6,0
6,0.5
6,1.5
6,-1.5
6,-1
6,0
6,2.5
6,0.5
6,-0.5
6,0
6,0.5
6,0
6,0
6,-0.5
6,0.5
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,-0.5
6,0.5
6,-0.5
6,0.5
6,-0.5
6,0.5
6,0
6,0
6,0
6,-0.5
6,-1
6,1
6,-1
6,1
6,1
6,0
6,-1
6,1
6,-1
6,1
6,-1
6,1.5
6,-1
6,-0.5
6,1
6,0
6,0
6,0.5
6,0
6,0
6,0
6,-0.5
6,0
6,0.5
6,0
6,-0.5
6,0
6,-1
6,0
6,-1
6,-0.5
6,0.5
6,0
6,0
6,-1
6,0
6,0
6,-0.5
6,1
6,0.5
6,0.5
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,-0.5
6,0
6,0
6,0
6,1.5
6,0
6,0
6,0
6,-0.5
6,0
6,-1
6,0.5
6,0
6,0
6,0
6,-0.5
6,1
6,0.5
6,-0.5
6,0
6,0.5
6,-0.5
6,0
6,0.5
6,0
6,0
6,0
6,-0.5
6,0
6,0
6,0.5
6,0
6,-0.5
6,0
6,0.5
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,-0.5
6,0.5
6,-0.5
6,0
6,0.5
6,1
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,-0.5
6,0
6,0.5
6,0
6,-0.5
6,0
6,0.5
6,0
6,0
6,0
6,-0.5
6,0.5
6,0
6,0
6,0
6,0
6,0
6,-0.5
6,0
6,0
6,0.5
6,0
6,-0.5
6,0
6,0
6,0
6,0.5
6,0
7,0
7,0
7,0.5
7,0.5
7,1.5
7,0
7,1.5
7,2
7,0.5
7,2
7,0.5
7,2
7,2
7,0.5
7,0
7,0
7,-0.5
7,1.5
7,0
7,0
7,-0.5
7,1.5
7,1
7,-0.5
7,0
7,0.5
7,-0.5
7,0.5
7,-0.5
7,0
7,0.5
7,-0.5
7,0.5
7,-0.5
7,-1
7,0.5
7,0
7,-0.5
7,0
7,0
7,0.5
7,0
7,0
7,-0.5
7,0.5
7,0.5
7,0.5
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,0
7,-0.5
7,0
